Date,Open,High,Low,Close,Adj Close,Volume
2018-08-30,63.169998,63.474499,62.360500,62.722000,62.722000,30104000
2018-08-31,62.610500,62.627499,61.287498,61.590000,61.590000,42308000
2018-09-04,61.125999,61.393501,60.327999,60.565498,60.565498,41458000
2018-09-05,60.460999,60.743500,58.766998,59.955002,59.955002,53988000
2018-09-06,59.928501,59.949501,58.180500,59.199501,59.199501,46854000
2018-09-07,58.599998,59.427502,58.463501,58.879501,58.879501,32658000
2018-09-10,59.209999,59.333000,58.530499,58.752998,58.752998,27670000
2018-09-11,58.555000,59.547001,58.297501,59.499500,59.499500,29254000
2018-09-12,59.099998,59.534500,58.307999,58.580002,58.580002,35716000
2018-09-13,58.985001,59.393002,58.460999,59.106998,59.106998,40068000
2018-09-14,59.400002,59.400002,58.675999,58.898998,58.898998,24176000
2018-09-17,58.888500,59.091000,57.923000,57.991501,57.991501,34096000
2018-09-18,58.132999,59.066502,58.071499,58.355499,58.355499,32314000
2018-09-19,58.448002,58.813499,57.931000,58.713501,58.713501,25962000
2018-09-20,59.033501,59.700001,58.812500,59.578499,59.578499,29244000
2018-09-21,59.745998,59.828999,58.603001,58.605999,58.605999,91222000
2018-09-24,57.970501,59.259499,57.575001,58.978001,58.978001,31150000
2018-09-25,59.212502,59.842999,58.704498,59.694500,59.694500,33152000
2018-09-26,59.684502,60.362000,59.270000,59.702999,59.702999,37650000
2018-09-27,60.000000,60.842999,59.902500,60.368000,60.368000,36274000
2018-09-28,60.204498,60.422501,59.891499,60.354000,60.354000,35612000
2018-10-01,60.650002,61.209999,60.159500,60.426498,60.426498,33164000
2018-10-02,60.333500,61.226002,59.983002,60.382000,60.382000,40180000
2018-10-03,60.599998,60.709000,60.107498,60.576500,60.576500,26246000
2018-10-04,60.251499,60.294998,58.192501,58.853500,58.853500,46576000
2018-10-05,58.799999,59.099998,57.716000,58.391499,58.391499,31852000
2018-10-08,58.000000,58.792999,56.770000,57.796001,57.796001,46190000
2018-10-09,57.565498,58.077499,57.208500,57.258499,57.258499,33690000
2018-10-10,56.820000,56.851002,54.575500,54.608002,54.608002,58980000
2018-10-11,53.952000,55.803001,53.794498,54.536999,54.536999,67696000
2018-10-12,55.981998,56.291500,54.751499,56.027000,56.027000,49370000
2018-10-15,55.900002,56.090000,54.910999,55.122002,55.122002,30074000
2018-10-16,55.674000,56.818501,55.587502,56.653999,56.653999,38378000
2018-10-17,57.000000,57.349998,55.700001,56.379501,56.379501,35652000
2018-10-18,56.500000,56.617500,54.317001,54.895500,54.895500,46152000
2018-10-19,55.185501,56.047501,54.851501,55.258999,55.258999,41286000
2018-10-22,55.625500,56.084499,55.000000,55.568501,55.568501,27116000
2018-10-23,54.564499,55.900002,53.950500,55.745499,55.745499,37686000
2018-10-24,55.750000,55.831001,52.752998,52.855999,52.855999,49286000
2018-10-25,54.014999,55.890999,53.777500,55.179501,55.179501,72956000
2018-10-26,52.416500,55.849998,52.111500,54.187500,54.187500,106438000
2018-10-29,54.827000,55.441502,50.360001,51.736500,51.736500,81290000
2018-10-30,51.000500,52.544998,50.698502,52.475498,52.475498,59768000
2018-10-31,53.410000,55.400002,53.410000,54.528999,54.528999,70916000
2018-11-01,54.570000,54.994999,53.890999,54.299000,54.299000,40132000
2018-11-02,54.450001,54.900002,53.382999,53.574501,53.574501,43438000
2018-11-05,53.626499,53.667500,51.700001,52.786499,52.786499,45358000
2018-11-06,52.750999,53.991001,52.680500,53.478500,53.478500,28660000
2018-11-07,54.174500,55.496498,54.029499,55.411999,55.411999,43388000
2018-11-08,55.365002,55.410999,54.217999,54.731499,54.731499,33694000
2018-11-09,54.201000,54.417500,53.213001,53.851002,53.851002,34860000
2018-11-12,53.656502,53.705002,52.017502,52.467999,52.467999,34002000
2018-11-13,52.740501,53.333500,52.020000,52.398499,52.398499,25750000
2018-11-14,53.000000,53.289501,52.055500,52.729000,52.729000,34666000
2018-11-15,52.573002,53.943501,52.064499,53.552502,53.552502,41584000
2018-11-16,53.261501,53.622002,52.744999,53.413502,53.413502,35366000
2018-11-19,53.169498,53.400002,51.143501,51.370998,51.370998,45684000
2018-11-20,50.364498,51.867500,50.110500,51.522499,51.522499,54458000
2018-11-21,52.265499,52.735500,51.973000,52.171501,52.171501,29698000
2018-11-23,51.674999,52.150002,51.425999,51.505001,51.505001,14178000
2018-11-26,52.200001,52.849998,51.988499,52.797001,52.797001,31558000
2018-11-27,52.567001,53.338001,52.275002,52.613998,52.613998,33048000
2018-11-28,52.873001,54.643002,52.147499,54.589500,54.589500,46042000
2018-11-29,54.176498,55.007500,54.099998,54.729000,54.729000,31004000
2018-11-30,54.781502,55.482498,54.159000,55.482498,55.482498,59668000
2018-12-03,56.608002,56.750000,55.586498,55.818001,55.818001,57532000
2018-12-04,55.649502,55.712002,53.039001,53.123501,53.123501,45630000
2018-12-06,52.250000,53.971001,52.124001,53.903999,53.903999,47436000
2018-12-07,53.611500,54.251499,51.968498,52.328999,52.328999,42682000
2018-12-10,52.146999,52.980000,51.650002,52.659000,52.659000,33652000
2018-12-11,53.347000,53.520000,52.505001,53.082500,53.082500,33852000
2018-12-12,53.854000,54.586498,53.598499,53.686501,53.686501,28960000
2018-12-13,53.783501,54.421001,53.249500,53.676998,53.676998,24986000
2018-12-14,53.000999,53.585999,52.468498,52.585499,52.585499,36358000
2018-12-17,52.350498,53.118999,50.831501,51.282501,51.282501,49932000
2018-12-18,51.700001,52.984501,51.523998,52.170502,52.170502,43640000
2018-12-19,52.364498,53.785500,50.971500,51.772999,51.772999,58264000
2018-12-20,51.299999,52.372002,50.393002,51.179001,51.179001,53674000
2018-12-21,51.602001,51.883499,49.059502,49.562500,49.562500,104656000
2018-12-24,49.216000,50.605999,48.882999,49.233501,49.233501,36360000
2018-12-26,49.899502,52.422501,49.632500,52.392502,52.392502,46318000
2018-12-27,51.310001,52.667000,50.349998,52.645000,52.645000,45996000
2018-12-28,52.974998,53.211498,52.099998,52.334000,52.334000,34398000
2018-12-31,52.891499,53.149502,51.652000,52.248001,52.248001,33110000
2019-01-02,51.360001,53.039501,51.264000,52.734001,52.734001,31868000
2019-01-03,52.533501,53.313000,51.118500,51.273499,51.273499,41960000
2019-01-04,52.127998,54.000000,51.842999,53.903500,53.903500,46022000
2019-01-07,54.048500,54.134998,53.132000,53.796001,53.796001,47446000
2019-01-08,54.299999,54.667500,53.417500,54.268501,54.268501,35414000
2019-01-09,54.399502,54.582001,53.718498,54.082500,54.082500,26998000
2019-01-10,53.747002,53.990501,53.234001,53.941502,53.941502,26598000
2019-01-11,53.494999,53.668499,52.821499,53.223499,53.223499,30864000
2019-01-14,52.667000,52.922501,52.427502,52.575500,52.575500,28490000
2019-01-15,52.900501,54.413502,52.722000,54.325500,54.325500,37518000
2019-01-16,54.500000,55.118000,54.400501,54.475498,54.475498,38280000
2019-01-17,54.399502,55.035000,54.162998,54.956001,54.956001,24896000
2019-01-18,55.429501,55.900002,54.964001,55.365002,55.365002,44892000
2019-01-22,54.799999,54.948502,53.544498,53.931499,53.931499,39632000
2019-01-23,54.342999,54.647499,53.378502,54.220501,54.220501,25194000
2019-01-24,54.125500,54.400002,53.500999,54.200001,54.200001,29114000
2019-01-25,54.711498,55.167999,54.590000,55.075500,55.075500,23260000
2019-01-28,54.503502,54.668499,53.730499,53.993000,53.993000,29334000
2019-01-29,54.051998,54.236500,53.300999,53.502998,53.502998,19704000
2019-01-30,53.868000,54.976002,53.832001,54.899502,54.899502,29452000
2019-01-31,55.612000,56.383499,55.262501,56.294498,56.294498,40232000
2019-02-01,56.114498,56.720001,55.712502,55.931000,55.931000,33116000
